transaction_id,terminal_id,amount_inr,customer_avg_spend_90d,card_age_days,transaction_hour,merchant_category,channel,card_type,city_tier,distance_from_home_km,device_trust_score,is_international,failed_pin_attempts_24h,txn_count_last_1h,merchant_risk_score,days_since_last_chargeback,batch_number,acquirer_code,pos_software_version,is_fraud
TXN22765937,T11563,8070.0,2288.7,629,19,fuel,contactless,debit,tier_2,5.5,,0,1,2,0.2,80,58,1102,4.5,0
TXN17516354,T12367,1125.82,1317.14,497,15,home_improvement,contactless,debit,tier_1,8.1,,0,1,1,0.289,-1,67,1116,4.0,0
TXN44615150,T11208,600.0,564.06,4000,17,cash_withdrawal,atm,debit,tier_1,3.9,,0,0,2,0.298,-1,319,1101,4.5,0
TXN72477147,T10210,1277.61,789.36,722,19,pharmacy,in_store,credit,tier_2,0.5,,0,0,1,0.06,54,239,1123,3.4,0
TXN40714366,T10676,154.88,812.89,439,13,pharmacy,contactless,credit,tier_1,5.7,,0,0,2,0.379,-1,308,1117,3.4,0
TXN42041387,T11235,2414.0,1308.37,396,21,electronics,online,debit,tier_1,20.1,0.906,0,0,1,0.32,221,428,1116,3.4,1
TXN20738543,T11542,1846.0,3057.46,120,15,gift_cards,online,debit,tier_1,16.2,,0,0,1,0.486,-1,311,1119,4.5,0
TXN94934477,T12343,379.16,517.76,449,20,fuel,online,debit,tier_2,56.1,0.894,0,0,1,0.736,266,242,1114,4.0,0
TXN73425309,T11137,524.0,257.67,147,20,home_improvement,in_store,credit,tier_2,0.6,,0,0,2,0.026,-1,241,1124,4.2,0
TXN38387613,T11198,30345.0,28240.31,1614,15,restaurants,in_store,credit,tier_1,2.6,,0,0,4,0.305,-1,34,1110,3.4,0
TXN63080062,T12373,732.0,958.04,160,17,money_transfer,online,credit,tier_1,17.3,0.926,0,0,2,0.083,-1,426,1116,3.1,0
TXN99067190,T11510,21.0,,597,16,money_transfer,online,credit,tier_1,28.9,0.908,0,0,1,0.257,64,459,1113,4.0,1
TXN66559462,T10882,1500.0,1100.26,356,14,home_improvement,contactless,debit,tier_2,3.0,,0,0,1,0.284,-1,395,1120,4.2,1
TXN26825710,T12477,6021.17,16754.67,1495,9,electronics,online,credit,tier_1,35.8,0.888,0,0,2,0.453,164,374,1105,4.5,1
TXN78068372,T10395,30558.0,,42,10,apparel,contactless,debit,tier_2,2562.9,,1,0,1,0.275,145,270,1122,4.2,1
TXN94201813,T10378,163487.21,47433.22,2454,20,jewellery,in_store,credit,tier_1,9.5,,0,1,1,0.294,-1,176,1122,3.1,1
TXN35799595,T10524,560.0,384.45,312,9,utilities,online,prepaid,tier_2,4.3,,0,0,4,0.471,-1,160,1101,3.4,1
TXN85940112,T10411,1153.0,1228.3,753,18,restaurants,in_store,prepaid,tier_1,6.6,,0,0,1,0.262,-1,316,1103,3.1,0
TXN75139075,T10936,2270.6,8397.54,440,16,restaurants,contactless,debit,tier_1,6.0,,0,0,2,0.216,-1,431,1119,3.1,1
TXN89099920,T11792,451.82,,44,17,restaurants,contactless,credit,tier_2,1.3,,0,0,1,0.138,-1,205,1111,3.1,0
TXN59697841,T10464,3039.0,,80,20,apparel,in_store,credit,tier_2,0.7,,0,0,1,0.294,-1,414,1104,3.1,0
TXN74770685,T11178,4508.93,5249.84,2371,18,utilities,contactless,credit,tier_1,,,0,0,1,0.723,63,282,1124,4.5,1
TXN71733035,T11252,1286.0,1598.52,464,13,travel,contactless,prepaid,tier_2,11.1,,0,0,1,0.391,99,72,1116,4.0,1
TXN11153041,T12037,2000.0,770.44,155,18,grocery,contactless,credit,tier_1,1.1,,0,0,2,0.13,-1,246,1117,4.5,0
TXN29312265,T11385,2511.0,2126.27,242,18,utilities,online,credit,tier_2,22.6,,0,0,2,0.585,52,381,1124,4.0,1
TXN78445807,T10414,570.39,1919.03,257,8,pharmacy,in_store,credit,tier_1,1788.9,,1,0,1,0.171,92,240,1120,4.5,1
TXN22417033,T10565,4566.31,8835.41,414,23,fuel,in_store,debit,tier_2,2.7,,0,0,4,0.104,-1,7,1104,4.2,0
